image,race,gender
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_0.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_1.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_10.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_11.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_12.png,Latin,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_13.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_14.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_15.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_16.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_17.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_18.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_19.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_2.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_20.png,Asian,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_21.png,Latin,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_22.png,Latin,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_23.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_24.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_25.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_26.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_27.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_28.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_29.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\8ae099ad-d748-4f12-b1f7-e813d3bddade\images\image_3.png,White,Male
