image,race,gender
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_0.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_1.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_10.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_11.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_12.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_13.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_14.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_15.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_16.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_17.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_18.png,Latin,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_19.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_2.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_20.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_21.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_22.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_23.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_24.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_25.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_26.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_27.png,Asian,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_28.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_29.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_3.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_30.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_31.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_32.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_33.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_34.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_35.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_36.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\637f1f8b-6de1-4c10-a392-fb107d2041df\images\image_37.png,Black,Female
