image,race,gender
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_0.png,Latin,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_1.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_10.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_11.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_12.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_13.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_14.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_15.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_16.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_17.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_18.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_19.png,Indian,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_2.png,Indian,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_20.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_21.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_22.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_23.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\4c55d507-e180-4102-80af-8b462890da26\images\image_24.png,Black,Male
