image,race,gender
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_0.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_1.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_10.png,Asian,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_11.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_12.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_13.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_14.png,Asian,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_15.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_16.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_17.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_18.png,Asian,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_19.png,Black,Other
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_2.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_20.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_21.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_22.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\97f0dbac-c85c-4ff4-9cd8-3e296ff9ad7f\images\image_23.png,White,Male
