image,race,gender
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_0.png,Black,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_1.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_10.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_11.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_12.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_13.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_14.png,Asian,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_15.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_16.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_17.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_18.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_19.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_2.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_20.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_21.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_22.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\2e68b0ee-81a6-4396-bc27-8796f2b41a8f\images\image_23.png,Asian,Male
