image,race,gender
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_0.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_1.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_10.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_11.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_12.png,Asian,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_13.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_14.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_15.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_16.png,White,None
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_17.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_18.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_19.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_2.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_20.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_21.png,Black,Female
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_22.png,White,Female
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_23.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_24.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_25.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_26.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_27.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_28.png,Asian,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_29.png,Indian,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_3.png,White,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_30.png,Black,Female
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_31.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_32.png,Black,Male
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_33.png,White,Female
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_34.png,White,Female
c:\Users\gonza\Documents\tfg\TFG_testing_code\bias_detection\runs\checkpoint_4_image_run6_b&W_Mugshot\images\image_35.png,Asian,Male
