image,race,gender
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_0.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_1.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_10.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_11.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_12.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_13.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_14.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_15.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_16.png,Indian,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_17.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_18.png,White,Female
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_19.png,Indian,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_2.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_20.png,Black,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_21.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_22.png,Indian,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_23.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_24.png,White,Male
c:\Users\gonza\Documents\TFG\TFG_testing_code\bias_detection\runs\e2b305ba-b2fb-4c1c-a64e-b0e122e12b97\images\image_25.png,None,None
